#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      482.2   517.3   173.5   287.0   322.3   449.6   491.0   513.4   532.7   553.0   584.3   637.4   924.3  7915.4 20322.4   4913.4     5000  1652446911405  1652446916767
read      512.4   552.5   173.5   261.9   295.1   504.6   568.4   597.2   618.7   640.2   677.1   733.1   879.7  6194.7 16262.8  10024.6    10000  1652446918270  1652446923584
read      509.4   462.7   173.5   248.1   277.2   488.5   580.8   618.1   640.7   670.3   705.2   764.0   924.8  6502.3 18392.7  14993.0    15000  1652446925086  1652446930385
read      503.3   288.4   173.5   246.1   274.1   471.6   585.6   634.6   666.4   700.3   742.4   808.4   979.3  3855.1  8786.6  20102.2    20000  1652446931889  1652446937193
read      518.5   319.1   160.7   249.8   278.0   488.4   602.0   653.1   686.2   723.4   768.7   842.4  1010.8  4075.6 11744.7  24968.0    25000  1652446938699  1652446943989
read      504.3   336.3   160.7   244.6   271.9   462.6   574.2   630.3   668.6   710.9   760.5   838.2  1017.7  3224.7 14504.6  30044.4    30000  1652446945492  1652446950780
read      487.4   278.5   160.7   234.9   260.4   449.4   559.4   615.3   651.4   691.5   741.9   817.6  1000.8  2818.6  9864.7  35157.4    35000  1652446952283  1652446957568
read      484.0   270.5   160.7   237.7   262.2   446.6   549.5   605.3   642.8   687.5   739.4   814.9   995.6  2784.8 10253.5  39989.4    40000  1652446959071  1652446964350
read      468.3   267.2   160.7   233.6   257.1   425.6   526.4   585.5   625.8   671.8   724.9   799.8   975.4  2069.6 10514.2  44994.0    45000  1652446965853  1652446971165
read      447.9   244.6   160.7   232.8   255.7   403.4   490.8   547.5   590.1   640.9   697.6   775.6   953.2  1375.4  9406.5  49980.2    50000  1652446972669  1652446977952
read      448.5   251.2   160.7   232.2   254.8   405.5   492.3   547.5   589.5   638.2   696.5   774.3   954.5  1651.2  9428.0  54931.8    55000  1652446979455  1652446984732
read      445.5   240.9   160.7   236.4   258.6   405.0   488.3   541.2   580.0   624.8   681.4   758.2   924.2  1587.4  9911.6  59889.4    60000  1652446986236  1652446991532
read      449.5   258.4   160.7   239.0   263.0   408.6   493.1   542.8   579.6   622.5   677.5   755.3   931.9  2275.7  9765.4  64987.4    65000  1652446993035  1652446998310
read      426.8   228.3   148.8   234.3   256.5   391.4   461.0   504.7   540.3   585.4   643.6   724.0   887.5  1522.4  8249.5  69931.2    70000  1652446999814  1652447005107
read      430.1   212.5   160.7   239.7   263.3   398.0   465.5   508.1   541.2   581.8   634.1   711.7   872.1  1478.8  6798.6  74858.2    75000  1652447006611  1652447011901
read      431.4   225.6   160.7   236.0   259.8   399.2   469.6   512.8   545.2   586.6   638.7   717.4   892.6  1270.3  9212.6  79981.8    80000  1652447013404  1652447018681
read      476.8   249.2   160.7   261.2   291.7   451.5   528.4   568.9   597.2   634.7   682.7   752.8   932.8  1356.9 12199.5  84974.8    85000  1652447020184  1652447025461
read      536.3   279.3   160.7   296.1   331.3   515.5   588.8   632.8   665.8   703.8   753.0   841.4  1019.5  1786.5 11473.4  89869.8    90000  1652447026964  1652447032249
read      540.5   255.7   160.7   286.1   323.1   516.7   600.7   648.4   684.1   726.6   783.3   870.4  1081.2  1463.0  9367.9  94999.5    95000  1652447033754  1652447039035
read      575.7   260.9   160.7   303.6   343.9   546.1   644.9   701.6   741.0   788.6   846.2   925.8  1082.3  1565.8 10806.5  97902.1   100000  1652447040539  1652447045835
read      693.7   326.6   160.7   382.2   430.5   670.3   772.9   829.8   867.5   911.6   963.7  1042.8  1209.6  3035.1 12914.3  94044.5   105000  1652447047338  1652447052614
read      558.2   237.0   160.7   343.7   384.0   549.3   606.6   636.7   662.2   690.3   732.2   795.0   935.4  1470.4 10317.3 109176.8   110000  1652447054118  1652447059401
read      486.1   189.5   160.7   309.6   346.8   478.9   526.9   551.4   571.5   591.7   623.6   672.2   789.6  1237.6  8055.0 114930.4   115000  1652447060905  1652447066185
read      577.5   242.8   187.4   373.7   412.0   570.5   622.2   650.7   674.0   699.5   736.9   793.7   920.0  1444.0 12356.7 112363.4   120000  1652447067688  1652447072984
