type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      586.2  1458.9   187.4   266.6   297.9   455.4   507.3   536.7   557.2   582.8   620.0   694.3  4194.3 31004.3 36192.7   4963.8     5000
read      604.5   862.3   187.4   250.9   280.0   541.6   628.9   677.4   714.2   758.2   816.8   916.0  3006.4  7994.6 32270.7   9894.4    10000
read      658.1  1077.2   173.5   241.4   266.5   555.3   673.2   740.5   790.3   846.0   912.8  1019.8  3835.9 12541.5 36748.3  14991.2    15000
read      672.9   986.6   173.5   242.1   271.5   571.8   694.2   774.5   836.2   901.4   979.4  1095.3  3313.0  9492.1 32455.9  19814.9    20000
read      676.7  1020.7   173.5   242.4   269.5   566.5   688.3   771.4   838.6   913.2  1004.7  1146.0  3239.0 10037.2 32341.5  24950.0    25000
read      681.3   939.2   173.5   241.1   270.3   591.5   714.3   789.4   848.3   920.2  1013.8  1161.2  2320.7  9919.3 32363.9  29987.8    30000
read      691.1   854.6   173.5   244.8   274.5   600.9   731.4   803.6   860.3   929.9  1024.4  1185.8  2938.9  8859.8 31847.1  34928.2    35000
read      659.6   846.8   173.5   241.3   267.9   547.6   686.3   773.3   839.2   919.2  1028.3  1222.0  2498.9  9065.6 32023.5  39795.8    40000
read      843.6   994.3   173.5   272.4   326.7   725.8   888.0   972.3  1033.4  1110.0  1239.1  1624.7  3841.2 10325.6 32335.3  45134.4    45000
read      779.5   846.4   173.5   274.9   326.6   693.6   839.9   915.6   972.5  1045.2  1162.6  1463.2  2120.1  9755.3 31998.6  50070.6    50000
read     1082.7   842.7   173.5   490.3   634.2   949.1  1048.7  1137.7  1297.1  1558.9  1743.7  1918.5  2409.2  9739.3 32188.0  54885.8    55000
read     1317.6  1117.4   202.4   854.6   914.0  1093.1  1177.7  1266.8  1509.9  1887.5  2036.5  2187.4  3363.5 15621.8 32507.9  51043.2    60000
read     1253.2   942.3   187.4   819.5   880.5  1057.1  1141.5  1229.7  1505.5  1813.7  1963.2  2113.4  2632.9 11954.8 31973.4  53437.1    65000
read     1205.8   900.6   187.4   782.1   836.3  1006.7  1091.3  1192.0  1547.9  1764.2  1881.5  2019.1  2693.1 12009.9 31818.5  55396.0    70000
read     1301.3   999.4   202.4   861.1   911.3  1090.5  1176.9  1267.2  1531.2  1881.2  2024.5  2178.8  2931.9 13188.8 32492.0  51713.0    75000
read     1302.1   954.1   202.4   875.9   928.5  1097.6  1177.5  1258.9  1456.0  1889.8  2049.2  2193.8  3120.7 13735.4 32137.6  51655.0    80000
