type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3359.3  2655.5   202.4  1771.1  1829.5  3033.5  3176.5  3777.8  3847.5  3917.3  3987.0  4056.8 18179.7 32127.9 39095.7   4943.8     5000
read     2742.5  1851.6   173.5   314.8   371.3  3094.4  3206.8  3459.7  3792.8  3869.5  3946.2  4022.9  5269.9 29189.7 34474.7  10005.9    10000
read     2134.3  1736.6   173.5   299.8   357.6  2884.7  3120.6  3190.9  3243.6  3434.0  3826.3  3964.4  4160.6 19953.2 34704.5  14972.4    15000
read     1727.4  2010.5   173.5   301.4   353.6   714.4  2975.0  3093.1  3157.9  3222.8  3419.4  3893.6  5238.1 31097.9 37154.4  20016.6    20000
read     1503.7  2166.8   173.5   314.9   366.0   696.0   968.2  2884.6  3083.8  3185.8  3354.4  3869.8  5721.6 31698.2 39096.6  25000.9    25000
read     1369.9  1697.7   173.5   325.0   385.2   720.0   928.8  1248.7  3024.0  3158.4  3353.7  3933.8  5441.6 25293.8 32948.6  30043.0    30000
read     2254.4  3134.3   202.4   666.8   734.5   994.6  1546.3  2004.3  4619.8  4908.5  5128.7  5837.6  9892.1 32500.6 41622.2  32013.8    35000
read     2259.7  3356.1   218.6   654.4   722.4   966.3  1468.8  1742.6  4430.0  4874.5  5232.4  8599.6 10121.1 35623.4 41794.2  32457.6    40000
read     2302.0  3471.8   218.6   694.8   752.4   969.0  1482.7  1746.0  4397.8  4903.2  5377.1  8927.9 10191.3 35535.2 53474.8  32074.0    45000
read     2258.8  3255.5   218.6   684.5   744.3   965.5  1512.6  1799.7  4534.4  4897.5  5200.0  8146.9 10099.9 34254.5 40465.1  32337.0    50000
read     2340.0  3422.3   218.6   703.8   765.9   994.7  1525.8  1865.5  4569.3  4931.8  5327.3  8851.1 10205.8 35306.7 43410.5  31581.0    55000
read     2303.4  3471.9   202.4   687.7   750.3   967.5  1468.1  1734.4  3356.6  4889.0  5432.6  8929.8 10202.2 35474.8 52054.9  32068.8    60000
read     2268.5  3255.9   173.5   671.5   739.6   977.6  1499.6  1804.3  4524.4  4901.8  5238.4  8392.8 10124.7 32499.3 40717.3  32182.0    65000
read     2263.5  3203.4   255.0   682.1   748.6   979.3  1533.7  1850.9  4600.8  4908.2  5165.5  5930.2 10085.5 35558.1 48475.8  32203.0    70000
read     2285.5  3349.0   202.4   678.0   741.9   976.5  1513.0  1831.1  4574.3  4909.8  5187.9  6365.8 10149.7 35334.9 43044.1  32291.6    75000
read     2222.7  3135.0   218.6   670.8   730.9   950.2  1504.6  1803.3  4597.1  4910.0  5143.8  5920.8 10010.1 32373.6 41265.6  32742.4    80000
