#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      452.4   455.8   173.5   271.8   306.8   419.2   458.6   480.3   497.4   518.3   549.1   611.4  1024.7  7189.8 16080.4   4944.8     5000  1652449174485  1652449179856
read      482.8   444.8   160.7   252.7   283.8   470.4   527.8   557.2   577.7   600.1   631.0   681.9   868.5  4999.6 21038.7  10013.2    10000  1652449181359  1652449186686
read      497.9   341.9   160.7   242.4   273.8   482.7   562.3   600.8   627.2   658.4   697.3   764.3   984.2  4028.2 12702.0  14917.6    15000  1652449188190  1652449193500
read      515.3   375.6   160.7   242.9   275.5   499.4   585.3   628.9   659.6   692.7   733.3   800.6   998.0  5418.0 13980.6  19887.2    20000  1652449195004  1652449200301
read      523.3   319.1   160.7   238.2   268.0   502.4   595.7   646.5   683.5   724.4   777.2   870.1  1094.7  3621.9 10425.0  25064.6    25000  1652449201804  1652449207090
read      518.4   274.3   160.7   236.0   264.2   494.7   591.4   645.6   686.0   728.6   785.5   890.2  1139.8  2431.8  9489.5  30046.2    30000  1652449208592  1652449213879
read      516.5   304.9   160.7   234.5   260.4   483.4   588.9   642.3   685.1   730.0   788.9   896.5  1231.6  2562.6 12147.4  34850.2    35000  1652449215389  1652449220662
read      486.9   280.7   160.7   236.0   258.3   441.3   552.8   611.1   655.2   703.3   755.5   841.8  1060.5  2634.8 10438.7  39925.4    40000  1652449222165  1652449227448
read      504.9  1842.2   160.7   230.0   252.6   433.3   549.3   611.9   656.8   708.6   769.8   873.4  1189.6  3482.0 17110.8  44708.4    45000  1652449228960  1652449234245
read      525.1  3507.7   160.7   226.6   248.5   417.1   525.9   581.8   624.0   676.8   736.1   831.2  1121.3  2049.5 216385.8  50075.8    50000  1652449235749  1652449241031
read      507.2  3243.1   160.7   228.8   250.5   405.0   506.1   564.3   607.0   658.8   723.3   811.8  1077.3  1896.5 214315.9  55150.3    55000  1652449242534  1652449247817
read      525.0  3960.2   160.7   230.7   252.0   399.6   492.1   545.0   585.6   637.5   703.9   800.2  1095.9  2252.8 217453.4  59612.4    60000  1652449249320  1652449254604
read      482.7  2197.5   160.7   232.5   255.2   410.0   505.7   556.4   596.1   649.8   716.6   809.0  1128.8  2174.0 199861.0  65012.2    65000  1652449256108  1652449261393
read      459.3   234.0   160.7   234.6   257.8   412.8   504.3   553.5   592.9   645.6   711.7   803.6  1104.8  1877.0  7621.6  70018.2    70000  1652449262897  1652449268175
read      477.4  1020.6   160.7   240.0   264.1   424.2   513.6   563.3   602.2   654.7   724.0   832.9  1181.4  2158.3 13204.5  74647.0    75000  1652449269678  1652449274974
read      572.5  3749.2   160.7   256.5   283.0   455.6   543.3   598.8   644.3   700.7   779.4   923.3  1265.4  2371.8 215674.5  79665.8    80000  1652449276478  1652449281761
read      697.7  3355.2   160.7   277.7   306.5   552.2   713.7   811.8   888.2   980.9  1093.4  1290.5  1859.3  3218.2 212810.5  83061.6    85000  1652449283264  1652449288545
read      720.3  1606.1   173.5   293.4   321.8   591.8   798.2   912.5   994.5  1091.5  1237.7  1531.7  2071.3  3457.0 17111.4  87659.8    90000  1652449290048  1652449295310
read      723.5  1307.0   148.8   291.3   318.6   561.7   788.4   921.1  1020.7  1149.2  1365.5  1649.4  2144.9  3671.1 14839.1  89214.4    95000  1652449296813  1652449302094
read      753.8   552.9   160.7   304.2   330.8   599.1   853.8   972.9  1064.4  1188.7  1412.0  1700.2  2329.4  4181.2 16124.3  86663.3   100000  1652449303597  1652449308876
read      712.9   476.3   160.7   297.7   323.9   591.1   801.3   915.6   999.1  1098.4  1263.0  1575.3  2116.5  3586.6 12611.5  91450.6   105000  1652449310379  1652449315653
read      727.4   529.6   160.7   294.6   322.1   543.0   798.5   936.9  1050.4  1217.2  1463.5  1692.5  2155.5  3668.1 14214.0  89726.6   110000  1652449317156  1652449322430
read      762.1   552.8   160.7   307.1   334.6   591.6   865.1   983.7  1076.2  1213.2  1433.7  1718.5  2435.0  4040.0 15452.4  85643.6   115000  1652449323934  1652449329216
read      702.0   492.4   160.7   294.0   321.1   587.9   784.6   897.4   979.7  1077.4  1229.3  1541.4  2026.8  3672.6 15721.0  92937.5   120000  1652449330719  1652449335999
